strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
BullishRibbon,10,RANGE,MID,210605,-0.003244427247104121,-10.618149900576922,339482,0.002524209066959158,9.26156733194563,True,True,True,False
BullishRibbon,10,RANGE,SMALL,208800,-0.0006798723396748641,-3.2406247741246412,379632,0.002149247157256312,12.957107310444272,True,True,True,False
BullishRibbon,10,RANGE,ALL,690679,7.361504256901346e-05,0.5380667782450937,1114925,0.004936709416964521,33.98236084996638,False,True,False,True
BullishRibbon,10,ALL,LARGE,305458,0.0026410971267008636,14.35911079095592,418737,0.010049095352873978,35.0955805239642,True,True,True,True
BullishRibbon,10,ALL,MID,236570,-0.003483756659925957,-11.063395560820394,358250,0.002996322061012309,11.349853091660332,True,True,True,False
BullishRibbon,10,ALL,SMALL,234609,-0.0010485690938399498,-5.3546517818452255,402441,0.0022926204803375167,14.31735878883086,True,True,True,False
BullishRibbon,10,ALL,ALL,776637,-0.0003391697967616633,-2.5321396923118753,1179428,0.005260181119883165,37.419510831974264,False,True,False,False
BullishRibbon,20,BULL,LARGE,27730,0.008830454635867487,5.490221109300904,14808,0.03197029862331368,13.158653546503151,True,True,True,True
BullishRibbon,20,BULL,MID,21096,-0.002233039808416849,-1.9910600466422153,12015,0.02742137477745892,12.71264981809968,False,True,False,False
BullishRibbon,20,BULL,SMALL,21374,0.002721266058025793,3.454386644352589,14286,0.012012729673811276,12.572289543877378,True,True,True,True
BullishRibbon,20,BULL,ALL,70200,0.0036456501421436877,4.807456547788409,41109,0.023705219199816725,20.990194059200718,True,True,True,True
BullishRibbon,20,BEAR,LARGE,6454,0.04329728218360645,26.295738510996834,8105,-0.014726780792861662,-4.6142269067523385,True,True,True,False
BullishRibbon,20,BEAR,MID,4869,0.017391786211406208,5.530350195352945,6753,-0.020330012419902413,-7.926017434743728,True,True,True,False
BullishRibbon,20,BEAR,SMALL,4435,0.018549125309830966,10.897872569110836,8523,-0.017220148722157512,-3.373282571701998,True,True,True,False
BullishRibbon,20,BEAR,ALL,15758,0.02832762006761221,22.132814852401523,23381,-0.017254029329656268,-7.540722226009304,True,True,True,False
BullishRibbon,20,RANGE,LARGE,271274,0.01189712845474477,24.673285041572843,384319,0.01964230387909789,38.24843682717472,True,True,True,True
BullishRibbon,20,RANGE,MID,210605,-0.0020208684295070474,-5.306575707021774,330518,0.004964656778701438,12.559602516795339,True,True,True,False
BullishRibbon,20,RANGE,SMALL,208800,0.0017846038859314708,6.394195770796821,369357,0.004871031703494838,17.611096675723136,True,True,True,True
BullishRibbon,20,RANGE,ALL,690679,0.004596059703883558,19.33177904916817,1084194,0.010135611035111436,42.60931611043325,True,True,True,True
BullishRibbon,20,ALL,LARGE,305458,0.012282182135344414,27.062444365833862,407232,0.019406545183578178,39.06419280790241,True,True,True,True
BullishRibbon,20,ALL,MID,236570,-0.0016402443096392473,-4.563969696707282,349286,0.005248099475107533,13.643603938856327,True,True,True,False
BullishRibbon,20,ALL,SMALL,234609,0.002186851326487197,8.39188597128013,392166,0.004651081902737266,16.300863890326177,True,True,True,True
BullishRibbon,20,ALL,ALL,776637,0.004991666888420861,22.303095948961786,1148684,0.010063733861471197,43.215476414273525,True,True,True,True
BearishRibbon,1,BULL,LARGE,25111,-0.0007713949662599982,-3.417143768320995,28737,0.0038108745476810447,9.547735738908091,True,True,True,False
BearishRibbon,1,BULL,MID,25053,-0.00032699451800897924,-0.7516886897749677,29197,0.003098781885900992,3.1309014041405727,False,True,False,False
