strategy,hold,context1,context2,t_stat,mean_return,type
AboveEMA200_BullRibbon,5,RANGE,LARGE,19.45571580956948,0.0036378091272705,REGIME
BelowEMA200,5,BEAR,SMALL,19.40637879287752,0.0140200020261995,REGIME
AboveEMA200,fwd_20,FINC,ALL,19.384700890799305,0.0140527496414307,SECTOR
Momentum_20d_Neg,1,BEAR,LARGE,19.363915706663036,0.0073868667992918,REGIME
Momentum_20d_Neg,5,BEAR,SMALL,19.28402515580635,0.0138010307232706,REGIME
After2Down,20,ALL,LARGE,19.28030464025037,0.0235027292393814,REGIME
BelowEMA200,10,ALL,SMALL,19.2730596955065,0.008677509108104,REGIME
ZScore_Low,20,ALL,ALL,19.25681879247262,0.0264002058081415,REGIME
BB_Below_Lower,20,ALL,ALL,19.25681879247262,0.0264002058081415,REGIME
Momentum_60d_Pos,10,BULL,ALL,19.22839198001056,0.0155344879924371,REGIME
AboveEMA200_BullRibbon,5,ALL,ALL,19.132228417670827,0.0017636698459754,REGIME
After2Down,5,BEAR,SMALL,19.052956700136345,0.0225895591780888,REGIME
Momentum_20d_Neg,10,BULL,SMALL,19.02828552153272,0.0222603492375677,REGIME
Momentum_20d_Neg,20,ALL,SMALL,18.98223936346949,0.0113607728448065,REGIME
Momentum_20d_Neg,20,BULL,SMALL,18.864401812223413,0.0301874811131698,REGIME
BelowEMA200,1,BEAR,LARGE,18.855233106415906,0.007817530249701,REGIME
BearishRibbon,5,BEAR,SMALL,18.81029921384382,0.0130235290783628,REGIME
HighVol,10,ALL,SMALL,18.781528473043277,0.00467855642866,REGIME
Momentum_5d_Neg,1,BEAR,LARGE,18.55751707278092,0.0068470874203596,REGIME
HighVol,10,BULL,MID,18.538248173389263,0.0226301958736959,REGIME
Momentum_5d_Pos,10,BULL,MID,18.50236670718143,0.0212207384112937,REGIME
After2Down,10,BULL,ALL,18.439392311129403,0.0250238139454639,REGIME
AboveEMA200,20,BULL,LARGE,18.418458365631185,0.0357163974413788,REGIME
After3Down,10,ALL,LARGE,18.34898484553995,0.0150320319104582,REGIME
Momentum_20d_Neg,20,BULL,LARGE,18.3486158751278,0.0507188821226982,REGIME
Momentum_20d_Neg,5,ALL,LARGE,18.255793709255727,0.0050481089146475,REGIME
RSI_Oversold,10,ALL,LARGE,18.12295995521379,0.0168381672830843,REGIME
BB_Narrow,10,ALL,LARGE,18.062848991327424,0.0076546663968305,REGIME
Momentum_20d_Neg,20,RANGE,LARGE,18.01184224703469,0.0179317693188517,REGIME
Momentum_5d_Neg,20,RANGE,SMALL,17.966462226693196,0.0102552056668836,REGIME
HighVol,5,RANGE,LARGE,17.88309337496779,0.003979069994306,REGIME
After3Down,5,BEAR,SMALL,17.877911912979997,0.0242327059855338,REGIME
BearishRibbon,10,ALL,SMALL,17.863902370562332,0.0064676436144008,REGIME
Momentum_20d_Pos,10,BULL,MID,17.847502156662372,0.0194973172173962,REGIME
Momentum_5d_Neg,20,BEAR,LARGE,17.84249422035561,0.0253039699343984,REGIME
Momentum_20d_Neg,5,BULL,ALL,17.753616177531963,0.0159008672227571,REGIME
HighVol,20,RANGE,SMALL,17.742339242223462,0.0072405944779265,REGIME
HighVol,1,BEAR,LARGE,17.72559900401108,0.0059484554242828,REGIME
Momentum_5d_Neg,5,BEAR,SMALL,17.71618972706747,0.0121497983482542,REGIME
RSI_Oversold,10,ALL,SMALL,17.68867908666326,0.0131519662394664,REGIME
BelowEMA200,10,RANGE,LARGE,17.636949223576682,0.0108661264997023,REGIME
BullishRibbon,20,RANGE,SMALL,17.611096675723136,0.0048710317034948,REGIME
BB_Narrow,5,BULL,ALL,17.576793398624616,0.0200533396602895,REGIME
Momentum_20d_Neg,10,ALL,SMALL,17.511823306507903,0.0072321912326261,REGIME
Momentum_5d_Pos,5,RANGE,LARGE,17.465942908310865,0.0035033643699888,REGIME
BelowEMA200,20,RANGE,SMALL,17.4514435998017,0.0127678045809009,REGIME
AboveEMA200,20,BULL,SMALL,17.369442054462997,0.0138048805187424,REGIME
AboveEMA200_BullRibbon,5,RANGE,ALL,17.309190802263945,0.0016471528900245,REGIME
After3Down,5,BEAR,MID,17.269003158941075,0.0291505655173551,REGIME
After2Down,20,RANGE,LARGE,17.237001178120273,0.0227843675843587,REGIME
Momentum_5d_Pos,5,BULL,SMALL,17.229511001603157,0.0070701400323687,REGIME
Vol_Spike,10,BEAR,ALL,17.125099773687154,0.0275582023353465,REGIME
BelowEMA200,5,BULL,LARGE,17.071602130573694,0.0238973841503401,REGIME
Momentum_20d_Pos,20,ALL,SMALL,16.988562132137602,0.0052406931059351,REGIME
