strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom30_H15_T9,30,15,0.9,492,-0.0077471327770124105,-0.008186970175386395,0.4410569105691057,-3.442747790779496,0.000625061442306734
Mom15_H10_T5,15,10,0.95,473,-0.008688673781576558,-0.009098187523648441,0.4334038054968288,-3.4509269428709395,0.000608852403298612
Mom90_H15_T19,90,15,0.8,487,-0.009011349462341653,-0.009418125643039805,0.3839835728952772,-3.4621644177361226,0.0005831528668878734
Mom15_H15_T5,15,15,0.95,470,-0.01066557489086766,-0.011080042975974041,0.4319148936170213,-3.4772314618430906,0.0005537924829584823
Mom5_H5_T5,5,5,0.95,466,-0.005103781224062709,-0.005503995816337388,0.41201716738197425,-3.4788489266463687,0.0005509606175857653
Mom30_H30_T9,30,30,0.9,490,-0.014925566511411484,-0.015349444062431888,0.45918367346938777,-3.4884100150169184,0.0005297847979096222
Mom20_H2_T30,20,2,0.7,499,-0.0006186553381917773,-0.0010402986247649237,0.374749498997996,-3.4981768076971305,0.0005104217455496315
Mom60_H5_T30,60,5,0.7,500,-0.002264720229478031,-0.002665720229478032,0.312,-3.5271554639844513,0.00045882311952445204
Mom10_H1_T19,10,1,0.8,500,-0.0005128779379119865,-0.0009288779379119864,0.332,-3.542693556072243,0.00043324846601542927
Mom15_H3_T5,15,3,0.95,470,-0.003913583587227137,-0.004326987842546286,0.35106382978723405,-3.5486969185697603,0.0004261426475020942
Mom20_H5_T19,20,5,0.8,500,-0.002907583570618512,-0.0033459835706185124,0.378,-3.637484329484082,0.00030395477230688787
Mom90_H5_T30,90,5,0.7,494,-0.0023539891024930903,-0.0027539891024930896,0.3623481781376518,-3.659505640583236,0.00027995599393431574
Mom2_H1_T9,2,1,0.9,499,-0.001054487497514049,-0.001467112748015051,0.38276553106212424,-3.6780666018170725,0.0002605919094545394
Mom2_H1_T5,2,1,0.95,477,-0.0015560599293841892,-0.001971783199824441,0.39832285115303984,-3.838274360638369,0.0001406239635642014
Mom1_H1_T30,1,1,0.7,500,-0.0002257456531714746,-0.0006671456531714745,0.316,-3.885878464772022,0.000115717144697508
Mom15_H10_T9,15,10,0.9,498,-0.007216248124550695,-0.007628898726960334,0.42971887550200805,-3.8951705766528706,0.00011155198623887577
Mom5_H1_T9,5,1,0.9,500,-0.00105785113288455,-0.00148545113288455,0.35,-3.9136527296684522,0.00010352876815140884
Mom5_H5_T9,5,5,0.9,499,-0.003925859293261889,-0.004343694964604575,0.40080160320641284,-3.9331653687747634,9.572884930067814e-05
Mom30_H3_T30,30,3,0.7,498,-0.0012905306890806435,-0.0017043861107673907,0.37751004016064255,-4.010865904098348,6.979868859556395e-05
Mom3_H1_T9,3,1,0.9,499,-0.0010938903020676956,-0.0015383792800236077,0.374749498997996,-4.033634631839933,6.354177021492207e-05
Mom10_H2_T9,10,2,0.9,498,-0.0021002161933517884,-0.0025058386833116276,0.39156626506024095,-4.114423273678207,4.542994839551924e-05
Mom126_H5_T30,126,5,0.7,481,-0.004344314710955533,-0.0047607388273796505,0.2577962577962578,-4.150098317143698,3.931975697438428e-05
Mom5_H1_T5,5,1,0.95,475,-0.0019178922429801105,-0.0023395764535064263,0.3642105263157895,-4.2862824628458185,2.201911056559336e-05
Mom60_H5_T19,60,5,0.8,498,-0.003281318540458869,-0.0036676639219849734,0.3253012048192771,-4.286791114350882,2.1780542127586415e-05
Mom60_H10_T30,60,10,0.7,500,-0.006593445594591321,-0.007011645594591322,0.374,-4.355280227888575,1.6136955290238165e-05
Mom30_H5_T9,30,5,0.9,494,-0.0052731516462589684,-0.005663637476218483,0.3684210526315789,-4.37255266305442,1.4989781852240717e-05
