strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
Downtrend10_30pct_H40,3.609777731368188,43087,2.938448654225166,False,REVERSAL,INERTIA,
Uptrend10_50pct_H1,-0.003660957578087537,30212,-2.639208144364447,False,REVERSAL,INERTIA,
Downtrend10_50pct_H1,0.017273834162776117,10711,3.072740008485989,True,REVERSAL,INERTIA,
Uptrend10_50pct_H5,-0.012401290558635363,30009,-4.6541395235058545,True,REVERSAL,INERTIA,
Downtrend10_50pct_H5,0.02539316009158445,10589,3.6695930280237805,True,REVERSAL,INERTIA,
Uptrend10_50pct_H10,1.894980943903869,29628,1.2678590743341691,False,INERTIA,INERTIA,
Downtrend10_50pct_H10,2.39771139505108,10526,1.0095686081886113,False,REVERSAL,INERTIA,
Uptrend10_50pct_H20,2.326092915963731,29181,2.0980556630186533,False,INERTIA,INERTIA,
Downtrend10_50pct_H20,2.243149180307331,10217,1.031163048953055,False,REVERSAL,INERTIA,
Uptrend10_50pct_H40,1.9442032090445698,28334,2.1901282989151065,False,INERTIA,INERTIA,
Downtrend10_50pct_H40,1.8015461694152115,9463,1.0102721946402922,False,REVERSAL,INERTIA,
Uptrend20_10pct_H1,0.0001860254473746895,546701,1.6950333782836309,False,INERTIA,INERTIA,
Downtrend20_10pct_H1,0.0034020049835884253,576444,10.638581757080386,True,REVERSAL,INERTIA,
Uptrend20_10pct_H5,0.06118752593335156,540380,1.4746655255291607,False,INERTIA,INERTIA,
Downtrend20_10pct_H5,0.1206921705228434,572422,1.1053929619788347,False,REVERSAL,INERTIA,
Uptrend20_10pct_H10,0.09415903352841119,534164,1.851645963035094,False,INERTIA,INERTIA,
Downtrend20_10pct_H10,0.15091998201904644,566999,1.976184541537444,False,REVERSAL,INERTIA,
Uptrend20_10pct_H20,0.1757017355869386,525207,2.763357066255596,False,INERTIA,INERTIA,
Downtrend20_10pct_H20,0.3479793278788016,547389,2.35911709897891,False,REVERSAL,INERTIA,
Uptrend20_10pct_H40,0.17742927037703263,508131,3.215798512910204,True,INERTIA,INERTIA,
Downtrend20_10pct_H40,0.5962946746113197,514030,4.346925371721694,True,REVERSAL,INERTIA,
Uptrend20_20pct_H1,-2.8129247419862924e-06,243921,-0.01291072507008244,False,REVERSAL,INERTIA,
Downtrend20_20pct_H1,0.005790479643683607,236723,7.703018019064686,True,REVERSAL,INERTIA,
Uptrend20_20pct_H5,0.13394762266088736,241497,1.4427170826341507,False,INERTIA,INERTIA,
Downtrend20_20pct_H5,0.284128122249244,234768,1.0672725362536901,False,REVERSAL,INERTIA,
Uptrend20_20pct_H10,0.20388761486810802,238894,1.7931726629057467,False,INERTIA,INERTIA,
Downtrend20_20pct_H10,0.35110721644787807,232257,1.8832649319140926,False,REVERSAL,INERTIA,
Uptrend20_20pct_H20,0.376863450007806,234886,2.650818164653433,False,INERTIA,INERTIA,
Downtrend20_20pct_H20,0.8329940483429481,221387,2.284009377502702,False,REVERSAL,INERTIA,
Uptrend20_20pct_H40,0.35849461567879676,227167,2.904932784313391,False,INERTIA,INERTIA,
Downtrend20_20pct_H40,1.4384476997253506,205419,4.19065134998133,True,REVERSAL,INERTIA,
Uptrend20_30pct_H1,-0.0002400649962885403,136444,-0.6892757511267272,False,REVERSAL,INERTIA,
Downtrend20_30pct_H1,0.008763468309254539,107631,5.456829170580925,True,REVERSAL,INERTIA,
Uptrend20_30pct_H5,0.23717042875944705,135260,1.4307581355815626,False,INERTIA,INERTIA,
Downtrend20_30pct_H5,0.6111843020698686,106669,1.0431180977751926,False,REVERSAL,INERTIA,
Uptrend20_30pct_H10,0.3581112804822176,133873,1.7649817354484671,False,INERTIA,INERTIA,
Downtrend20_30pct_H10,0.751256239382587,105454,1.8296122884357933,False,REVERSAL,INERTIA,
Uptrend20_30pct_H20,0.657192646784816,131731,2.5925448214232936,False,INERTIA,INERTIA,
Downtrend20_30pct_H20,1.8182544538865935,99840,2.248375963957491,False,REVERSAL,INERTIA,
Uptrend20_30pct_H40,0.6072020058071742,127371,2.758831833380481,False,INERTIA,INERTIA,
Downtrend20_30pct_H40,2.2437135655735063,92115,3.4528709940804774,True,REVERSAL,INERTIA,
Uptrend20_50pct_H1,-0.0006878873940176679,59917,-0.9903689302516456,False,REVERSAL,INERTIA,
Downtrend20_50pct_H1,0.017176893061948494,26517,2.7436516984864805,False,REVERSAL,INERTIA,
Uptrend20_50pct_H5,0.5323462452545498,59466,1.4118956066056523,False,INERTIA,INERTIA,
Downtrend20_50pct_H5,0.028565390683911406,26216,3.8484920301765952,True,REVERSAL,INERTIA,
Uptrend20_50pct_H10,0.7982065265414078,58895,1.7307286234728476,False,INERTIA,INERTIA,
Downtrend20_50pct_H10,0.04440044254156268,25912,4.706601981565658,True,REVERSAL,INERTIA,
Uptrend20_50pct_H20,1.0241280741609022,58110,2.100643165077844,False,INERTIA,INERTIA,
Downtrend20_50pct_H20,0.07691644136720015,24647,4.355990545347977,True,REVERSAL,INERTIA,
Uptrend20_50pct_H40,1.0023373904365984,56128,2.2365656205694218,False,INERTIA,INERTIA,
Downtrend20_50pct_H40,2.0718689844691927,22890,1.4580582931685264,False,REVERSAL,INERTIA,
Uptrend50_10pct_H1,0.00038826319395622355,803075,4.711526806156948,True,INERTIA,INERTIA,
Downtrend50_10pct_H1,0.08208247158333723,783056,1.0284145526766788,False,REVERSAL,INERTIA,
Uptrend50_10pct_H5,0.002696817210401058,797282,16.233720271972626,True,INERTIA,INERTIA,
Downtrend50_10pct_H5,0.1833900689813433,774273,1.948302139946832,False,REVERSAL,INERTIA,
Uptrend50_10pct_H10,0.006091345650775135,789618,25.50862454173137,True,INERTIA,INERTIA,
Downtrend50_10pct_H10,0.2065041890912455,764286,2.792427634343814,False,REVERSAL,INERTIA,
Uptrend50_10pct_H20,0.028321129193705854,776826,1.759690951427002,False,INERTIA,INERTIA,
Downtrend50_10pct_H20,0.40976489627606116,740889,3.371150946241059,True,REVERSAL,INERTIA,
Uptrend50_10pct_H40,0.04034117580749381,740523,3.4093652658584963,True,INERTIA,INERTIA,
Downtrend50_10pct_H40,0.6618050286914295,704275,5.243184085144111,True,REVERSAL,INERTIA,
Uptrend50_20pct_H1,0.00044697542908272634,420208,3.026597464278979,True,INERTIA,INERTIA,
Downtrend50_20pct_H1,0.1504456538955957,424683,1.0222794587923163,False,REVERSAL,INERTIA,
Uptrend50_20pct_H5,0.00283251033299937,417291,9.774105216609266,True,INERTIA,INERTIA,
Downtrend50_20pct_H5,0.33536030492633656,419018,1.9281096347521642,False,REVERSAL,INERTIA,
Uptrend50_20pct_H10,0.006836895459718398,413171,16.723861901074255,True,INERTIA,INERTIA,
Downtrend50_20pct_H10,0.37486278587424166,413069,2.739646736172542,False,REVERSAL,INERTIA,
Uptrend50_20pct_H20,0.044196070197762526,405773,1.4344880580743897,False,INERTIA,INERTIA,
Downtrend50_20pct_H20,0.7489467221081152,398954,3.3179301682007996,True,REVERSAL,INERTIA,
Uptrend50_20pct_H40,0.05379396056499762,384598,2.3618560613600996,False,INERTIA,INERTIA,
Downtrend50_20pct_H40,1.2021470326030448,380041,5.139479242515607,True,REVERSAL,INERTIA,
Uptrend50_30pct_H1,0.00026972542164491154,260814,1.392937876144804,False,INERTIA,INERTIA,
Downtrend50_30pct_H1,0.2632763518800799,241625,1.0178385445942468,False,REVERSAL,INERTIA,
Uptrend50_30pct_H5,0.0021987257765162076,259046,5.29990868925886,True,INERTIA,INERTIA,
Downtrend50_30pct_H5,0.3829746565879934,237827,1.353090630724919,False,REVERSAL,INERTIA,
Uptrend50_30pct_H10,0.00593232228864411,256420,9.96546777530318,True,INERTIA,INERTIA,
Downtrend50_30pct_H10,0.4450951691528393,234188,2.125972730750027,False,REVERSAL,INERTIA,
Uptrend50_30pct_H20,0.06193856389006945,251587,1.246515085252301,False,INERTIA,INERTIA,
Downtrend50_30pct_H20,0.8891257161751153,225608,2.4459438251265695,False,REVERSAL,INERTIA,
Uptrend50_30pct_H40,0.06684351347029913,237604,1.8133922175503072,False,INERTIA,INERTIA,
Downtrend50_30pct_H40,1.0687147332674518,215148,3.7374700235525076,True,REVERSAL,INERTIA,
Uptrend50_50pct_H1,-0.00028764339938541745,131798,-0.8451440958535965,False,REVERSAL,INERTIA,
Downtrend50_50pct_H1,0.7854441869817353,80365,1.0099680987187396,False,REVERSAL,INERTIA,
Uptrend50_50pct_H5,-0.0003143387864619747,130954,-0.4627531503098647,False,REVERSAL,INERTIA,
Downtrend50_50pct_H5,1.1333510392631694,78860,1.3277584808776053,False,REVERSAL,INERTIA,
Uptrend50_50pct_H10,0.0021630437870586057,129637,2.1028543956544823,False,INERTIA,INERTIA,
Downtrend50_50pct_H10,0.9824072654549292,77565,1.8066709988164869,False,REVERSAL,INERTIA,
Uptrend50_50pct_H20,0.006061253266194475,127136,3.6540004177091405,True,INERTIA,INERTIA,
Downtrend50_50pct_H20,1.1904910330459773,74579,2.081418960277772,False,REVERSAL,INERTIA,
Uptrend50_50pct_H40,0.024302001064817204,119684,7.659554392394482,True,INERTIA,INERTIA,
Downtrend50_50pct_H40,1.1738408472932285,70997,2.4030345149217984,False,REVERSAL,INERTIA,
Uptrend100_10pct_H1,0.00033826984213124135,949378,5.019620621988497,True,INERTIA,INERTIA,
Downtrend100_10pct_H1,0.07706585115397854,834400,1.0288717675274766,False,REVERSAL,INERTIA,
Uptrend100_10pct_H5,0.001884835346905451,940036,14.006099982101869,True,INERTIA,INERTIA,
Downtrend100_10pct_H5,0.17294526204366217,825341,1.9585219812797081,False,REVERSAL,INERTIA,
Uptrend100_10pct_H10,0.0046987639028894575,926321,24.906561091840512,True,INERTIA,INERTIA,
Downtrend100_10pct_H10,0.28507066058520847,814796,3.1511739872443663,True,REVERSAL,INERTIA,
Uptrend100_10pct_H20,0.02384322100135414,902185,1.7205753576115037,False,INERTIA,INERTIA,
Downtrend100_10pct_H20,0.45352089006167273,792496,3.808472908464712,True,REVERSAL,INERTIA,
Uptrend100_10pct_H40,0.030671613622065837,837715,2.932872174813045,False,INERTIA,INERTIA,
