strategy,fast,slow,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
MACD16_21_9_H3,16,21,9,3,993,0.0018051512720368547,0.56797583081571,4.091444329013228,4.6348789366066236e-05
MACD16_35_7_H10,16,35,7,10,992,0.003917121186903012,0.5907258064516129,4.079333957436503,4.879193962734675e-05
MACD12_30_9_H3,12,30,9,3,994,0.0017899636533682498,0.5784708249496981,4.079035686760862,4.8846018963390685e-05
MACD20_21_9_H10,20,21,9,10,993,0.003970835680947827,0.56797583081571,4.030742762541475,5.98570612215654e-05
MACD16_30_11_H15,16,30,11,15,990,0.0055531255006473455,0.5878787878787879,4.010127062304504,6.525362789081883e-05
MACD12_26_9_H5,12,26,9,5,996,0.002353003677515427,0.5993975903614458,4.008506207703653,6.566738527490365e-05
MACD16_35_11_H15,16,35,11,15,988,0.005123933908682345,0.569838056680162,4.002249134696536,6.743919922968231e-05
MACD20_30_7_H15,20,30,7,15,991,0.005724429565079326,0.5963673057517659,3.9860789345163696,7.210770872082464e-05
MACD16_26_9_H3,16,26,9,3,993,0.0019096807630608467,0.5740181268882175,3.9840247173831798,7.271397070778391e-05
MACD16_26_11_H15,16,26,11,15,991,0.005475730833127561,0.5812310797174571,3.982428878876211,7.32066320352424e-05
MACD8_30_9_H3,8,30,9,3,996,0.0017334053786804704,0.5662650602409639,3.9807843819869393,7.368106011178033e-05
MACD8_26_11_H5,8,26,11,5,996,0.0022924840830190114,0.5953815261044176,3.9788444490607993,7.427521357245032e-05
MACD16_30_9_H15,16,30,9,15,991,0.00579533884125764,0.5943491422805247,3.9685446364087977,7.753343071045553e-05
MACD16_21_9_H5,16,21,9,5,993,0.002394401230430543,0.5800604229607251,3.9643443154738196,7.887845930952795e-05
MACD20_26_7_H5,20,26,7,5,991,0.002469553297596398,0.5852674066599395,3.963589466858674,7.913543930705774e-05
MACD20_21_11_H15,20,21,11,15,991,0.005501830041063154,0.5933400605449042,3.9562345543690114,8.157117417799605e-05
MACD16_21_11_H5,16,21,11,5,992,0.0025339448910641853,0.5695564516129032,3.9428146406830082,8.619355109270998e-05
MACD16_26_9_H10,16,26,9,10,993,0.0038814561803077086,0.5820745216515609,3.942772898887659,8.620248063869934e-05
MACD12_35_11_H15,12,35,11,15,991,0.005550156083159731,0.58627648839556,3.936384739561295,8.850398067554597e-05
MACD20_26_7_H10,20,26,7,10,991,0.0038298516341538484,0.5983854692230071,3.9302603690277707,9.07531549721609e-05
MACD16_35_7_H15,16,35,7,15,992,0.005592959756051736,0.6088709677419355,3.9082504568432723,9.92842254714694e-05
MACD20_21_7_H3,20,21,7,3,994,0.001727915064084861,0.562374245472837,3.896205814970504,0.0001042585423957767
MACD20_35_7_H15,20,35,7,15,990,0.005222474104847985,0.5747474747474748,3.874113421207232,0.00011405675543280185
MACD12_30_7_H3,12,30,7,3,996,0.0016378227808858295,0.5823293172690763,3.855142944858147,0.00012308511336498463
MACD16_26_9_H5,16,26,9,5,993,0.0024780422277058418,0.56797583081571,3.854715208486007,0.00012332027304990528
MACD16_35_9_H15,16,35,9,15,990,0.005438152269404482,0.5868686868686869,3.826933460530383,0.00013789382140242228
MACD16_26_7_H3,16,26,7,3,995,0.0016768166850182112,0.5587939698492462,3.8268888100017984,0.0001378766319524804
MACD12_21_11_H5,12,21,11,5,994,0.002265584347625906,0.5925553319919518,3.8224818059151793,0.00014033682379516708
MACD16_30_11_H3,16,30,11,3,990,0.0018517063791342449,0.5575757575757576,3.817441394152382,0.00014322595605192954
MACD16_21_7_H5,16,21,7,5,996,0.0021936637346802795,0.5913654618473896,3.813688070243981,0.00014533536556156145
MACD8_26_11_H3,8,26,11,3,996,0.0016302927877718805,0.5642570281124498,3.81180126612564,0.00014643328955143438
MACD20_26_11_H15,20,26,11,15,989,0.004896400737434083,0.5763397371081901,3.7988574702245854,0.00015424249132178197
MACD20_30_7_H10,20,30,7,10,991,0.0036543310780969432,0.5681130171543896,3.7942222310226246,0.00015709124985854357
MACD16_26_11_H3,16,26,11,3,991,0.0018523437880126534,0.5701311806256307,3.7646544549851284,0.0001765960896292764
MACD8_35_7_H3,8,35,7,3,998,0.0015329605961088607,0.5701402805611222,3.754489793268126,0.0001837402620792707
MACD16_30_9_H10,16,30,9,10,991,0.0037808323620204328,0.5681130171543896,3.7544602662242785,0.00018383401545877018
MACD20_35_7_H3,20,35,7,3,990,0.0017707690119855726,0.5515151515151515,3.7368343508720163,0.00019702255133805844
MACD12_26_9_H3,12,26,9,3,996,0.001634125970359256,0.5632530120481928,3.7337332808743744,0.00019936498266653446
MACD20_26_9_H3,20,26,9,3,991,0.0018363876234241442,0.5560040363269425,3.728083740432389,0.0002038791925080867
MACD12_26_7_H3,12,26,7,3,996,0.0016029587523621292,0.5652610441767069,3.689247648911284,0.00023710393898728488
MACD16_35_7_H3,16,35,7,3,992,0.0017421139631700292,0.5816532258064516,3.6794406545622893,0.0002463330351525619
MACD20_21_11_H3,20,21,11,3,991,0.0018516827218818344,0.5701311806256307,3.6784323395823337,0.0002473084514526539
MACD20_30_7_H5,20,30,7,5,991,0.0023525866018738913,0.5650857719475277,3.649287932141778,0.00027670366799249953
MACD16_35_7_H5,16,35,7,5,992,0.0022455354144771083,0.5796370967741935,3.6476438483318425,0.00027844178295491026
MACD8_26_9_H3,8,26,9,3,998,0.0015758306904965274,0.5581162324649298,3.6403191123786898,0.00028628943791970105
MACD8_21_11_H3,8,21,11,3,998,0.0016070179937039727,0.5671342685370742,3.6358501738962694,0.0002912325372795235
MACD16_30_9_H5,16,30,9,5,991,0.002371262274735257,0.5630676084762866,3.623311465008952,0.00030563799012842845
MACD12_35_11_H10,12,35,11,10,991,0.003560074235815283,0.5731584258324924,3.610315809525241,0.00032115615463850124
MACD16_21_11_H10,16,21,11,10,992,0.0034266840056855494,0.5554435483870968,3.595387917028841,0.0003398758017930577
MACD12_21_7_H3,12,21,7,3,998,0.0014955041196254271,0.5561122244488977,3.569376560591413,0.00037488496910851644
MACD12_35_11_H5,12,35,11,5,991,0.002319891434283867,0.5610494450050454,3.5649799988766033,0.0003812682496939454
MACD20_26_9_H10,20,26,9,10,991,0.0035228525385568336,0.5519677093844602,3.550595810812414,0.00040244233086629067
MACD20_35_7_H10,20,35,7,10,990,0.0033291841170657826,0.5505050505050505,3.5064541291057694,0.0004745126236800681
MACD16_26_11_H10,16,26,11,10,991,0.0035167651017289285,0.5681130171543896,3.4984334735491704,0.000488812878290718
MACD16_21_7_H3,16,21,7,3,996,0.0015113356977169547,0.5682730923694779,3.4881614962225522,0.0005076347090471001
MACD16_35_9_H3,16,35,9,3,990,0.0016002054562033329,0.5454545454545454,3.4794426551824404,0.0005243693274160046
MACD12_21_11_H3,12,21,11,3,994,0.0015501618734596048,0.5744466800804829,3.470599575480451,0.0005416347119125433
MACD20_26_9_H5,20,26,9,5,991,0.0023631132362376107,0.562058526740666,3.464799432807197,0.000553376838447084
MACD12_35_7_H3,12,35,7,3,995,0.0014939500147643737,0.5718592964824121,3.433938752955192,0.0006194337193698709
MACD20_30_9_H3,20,30,9,3,989,0.001626248777208223,0.5490394337714863,3.4088684541882097,0.0006786817887864511
MACD12_21_9_H5,12,21,9,5,996,0.001980967607012994,0.5943775100401606,3.375912107124568,0.0007641621231530649
MACD20_21_11_H10,20,21,11,10,991,0.0034526612905371617,0.5630676084762866,3.366833323243678,0.0007896194606007663
MACD20_35_7_H5,20,35,7,5,990,0.002203945506672797,0.5515151515151515,3.355752306538605,0.0008216001446436903
MACD16_35_9_H10,16,35,9,10,990,0.003256600406429558,0.5595959595959596,3.3323917781496464,0.0008929311102063195
MACD8_21_9_H3,8,21,9,3,998,0.0013261957227332355,0.5501002004008017,3.261761152806227,0.0011447732340360737
MACD20_35_11_H15,20,35,11,15,984,0.0041764901383789825,0.5701219512195121,3.2509814385193696,0.0011891501140880588
MACD16_26_11_H5,16,26,11,5,991,0.0021481829306302996,0.5650857719475277,3.241236104574559,0.0012298261045748382
MACD20_30_11_H15,20,30,11,15,985,0.004328591960030285,0.5685279187817259,3.2322683138975057,0.001268912132128486
MACD8_21_7_H3,8,21,7,3,998,0.0013311681006170793,0.531062124248497,3.1980731745037043,0.001427078475215399
MACD20_21_11_H5,20,21,11,5,991,0.0021479335407823905,0.5630676084762866,3.187708227480248,0.0014790063573077586
MACD16_35_9_H5,16,35,9,5,990,0.0020683019413367232,0.5585858585858586,3.17441594978109,0.0015477695412771835
MACD12_21_9_H3,12,21,9,3,996,0.001402264923077764,0.5732931726907631,3.173608937529689,0.0015517522782274385
MACD20_26_11_H3,20,26,11,3,989,0.001593271299839337,0.5460060667340748,3.148632268008118,0.0016895800547269359
MACD16_30_11_H10,16,30,11,10,990,0.0029616931830773402,0.5555555555555556,3.017194829530296,0.002616557998342995
MACD16_30_11_H5,16,30,11,5,990,0.002065387053127853,0.5565656565656566,3.0162909957177635,0.002624298460570596
MACD20_35_9_H10,20,35,9,10,989,0.0029959158928374637,0.5399393326592518,3.01021200875353,0.0026769736661154063
MACD20_30_9_H5,20,30,9,5,989,0.0019976854366813594,0.5621840242669363,2.970940847979723,0.0030407514192504386
MACD16_35_11_H3,16,35,11,3,988,0.0014264171773360238,0.5334008097165992,2.921722035220081,0.003560349278368964
MACD8_26_7_H3,8,26,7,3,998,0.00119104701324198,0.5430861723446894,2.911211538527059,0.0036804563286677626
MACD8_30_7_H3,8,30,7,3,998,0.001219091985893547,0.5531062124248497,2.879866205134985,0.004063575143823183
MACD20_35_9_H3,20,35,9,3,989,0.001396392691964334,0.5338725985844287,2.833322793117253,0.004700427125375355
MACD20_30_9_H10,20,30,9,10,989,0.0028610051148029564,0.5510616784630941,2.8320726232509004,0.0047186935177105675
MACD20_35_9_H5,20,35,9,5,989,0.0019052755059450906,0.5338725985844287,2.6506678358774085,0.008161746325265163
MACD20_26_11_H5,20,26,11,5,989,0.0018182537361354706,0.5470171890798786,2.5904108481450163,0.009727321986552321
