strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI14_OV80_H15,14,80,15,overbought,862,-0.0064400275769122784,-0.00684153569756193,0.46867749419953597,-2.460785827148471,0.014058592755852804
RSI10_OV65_H3,10,65,3,overbought,998,-0.0004515599491549213,-0.000865287404064741,0.3777555110220441,-2.465667152253157,0.013843309649729135
RSI25_OV75_H10,25,75,10,overbought,640,-0.0070567504471369166,-0.007448937947136916,0.4484375,-2.5306002963684002,0.011625665787467238
RSI10_OV80_H15,10,80,15,overbought,977,-0.004781036108286735,-0.005191169168675682,0.42374616171954965,-2.5614325545008367,0.010573443201136333
RSI10_OV80_H20,10,80,20,overbought,977,-0.005590813567190859,-0.006000946627579805,0.458546571136131,-2.600759113602009,0.009442443831382099
RSI20_OV65_H15,20,65,15,overbought,989,-0.004112703887833424,-0.004523725121402684,0.4641051567239636,-2.6569421116978953,0.008012473152923423
RSI14_OV80_H10,14,80,10,overbought,862,-0.006048200051590683,-0.006449708172240335,0.4048723897911833,-2.8902015298455193,0.00394668781398326
RSI10_OV70_H5,10,70,5,overbought,997,-0.0014120989613994187,-0.001825238379654183,0.38515546639919757,-2.927230947053924,0.0034977117480268303
RSI10_OV75_H10,10,75,10,overbought,993,-0.003384628171655592,-0.0037966120588660657,0.39375629405840884,-3.1382694405656095,0.001749649274371174
RSI14_OV70_H10,14,70,10,overbought,993,-0.0037569769856364895,-0.0041689608728469624,0.4390735146022155,-3.1804174177477957,0.0015162473528636136
RSI7_OV80_H5,7,80,5,overbought,995,-0.0019016350534653437,-0.002314097365023133,0.3829145728643216,-3.2121435811611203,0.0013598061085998059
RSI7_OV70_H3,7,70,3,overbought,999,-0.0007435234330356925,-0.0011571370466493063,0.38538538538538536,-3.2660143809855158,0.0011278601950365339
RSI25_OV75_H5,25,75,5,overbought,640,-0.0052062226082380545,-0.005598410108238055,0.384375,-3.3350152882006316,0.0009023006927795944
RSI10_OV75_H5,10,75,5,overbought,993,-0.0021722832698815872,-0.0025842671570920606,0.3766364551863041,-3.3564751125993686,0.0008193880247208106
RSI30_OV70_H20,30,70,20,overbought,778,-0.011476217300316349,-0.011878659459699382,0.4884318766066838,-3.4082884475396082,0.0006873878243577407
RSI10_OV75_H3,10,75,3,overbought,993,-0.0018019984034094811,-0.002213982290619955,0.3595166163141994,-3.544536051047242,0.0004116501776197323
RSI14_OV65_H5,14,65,5,overbought,996,-0.0018620542771943039,-0.002275307289242496,0.3815261044176707,-3.5855323162872876,0.00035273426933221425
RSI10_OV70_H3,10,70,3,overbought,997,-0.0011876061164923166,-0.0016007455347470806,0.36108324974924777,-3.6045188742130363,0.00032821852360073923
RSI7_OV75_H3,7,75,3,overbought,999,-0.0011171260971650436,-0.0015307397107786574,0.36236236236236236,-3.6173495109182054,0.0003125453423290297
RSI25_OV75_H3,25,75,3,overbought,640,-0.0034948306874705557,-0.0038870181874705563,0.36875,-3.656045178408993,0.00027720617965493356
RSI20_OV65_H10,20,65,10,overbought,989,-0.004450443428110176,-0.004861464661679438,0.42669362992922144,-3.7130125564873424,0.00021626162107329035
RSI14_OV80_H3,14,80,3,overbought,862,-0.0038035235381332017,-0.0042050316587828535,0.32018561484918795,-3.8427588005929576,0.000130600068228591
RSI20_OV75_H1,20,75,1,overbought,826,-0.0012310607962762704,-0.0016342084960341394,0.36561743341404357,-3.8612555326143525,0.00012163051046775831
RSI10_OV80_H10,10,80,10,overbought,977,-0.005702415401364731,-0.006112548461753678,0.38689866939611056,-3.884421657145234,0.00010948752023757928
RSI14_OV80_H5,14,80,5,overbought,862,-0.005165149400094978,-0.005566657520744628,0.33410672853828305,-3.887892803374877,0.00010889472576730821
RSI20_OV65_H5,20,65,5,overbought,989,-0.0027440001684902048,-0.003155021402059467,0.4064711830131446,-4.000175694414555,6.801835500427882e-05
RSI10_OV80_H3,10,80,3,overbought,977,-0.002971205550722971,-0.0033813386111119174,0.38075742067553736,-4.101968318856856,4.438009135338016e-05
RSI7_OV80_H3,7,80,3,overbought,995,-0.001766483825358228,-0.0021789461369160173,0.3708542713567839,-4.167383315293444,3.349407278355239e-05
RSI10_OV80_H5,10,80,5,overbought,977,-0.003720130879066016,-0.004130263939454962,0.38178096212896623,-4.218567895415819,2.6874660866259697e-05
RSI30_OV70_H15,30,70,15,overbought,778,-0.012567487882255611,-0.012969930041638647,0.4768637532133676,-4.334932373088256,1.649781810259514e-05
RSI14_OV80_H1,14,80,1,overbought,862,-0.0018579543755252,-0.002259462496174852,0.30974477958236657,-4.360815397660276,1.4525515010646025e-05
RSI14_OV65_H3,14,65,3,overbought,996,-0.0014857871995129252,-0.0018990402115611185,0.3614457831325301,-4.467232581990859,8.831859870158143e-06
RSI20_OV65_H3,20,65,3,overbought,989,-0.002164146321832052,-0.002575167555401314,0.3923154701718908,-4.49664073007972,7.721788608678123e-06
RSI25_OV75_H1,25,75,1,overbought,640,-0.0015206515332715832,-0.0019128390332715834,0.31875,-4.75530728719125,2.4507332075840063e-06
RSI14_OV70_H5,14,70,5,overbought,993,-0.0033631480293628,-0.003775131916573273,0.3675730110775428,-4.764040673653567,2.1805008705403415e-06
RSI30_OV70_H10,30,70,10,overbought,778,-0.010877776907900327,-0.011280219067283364,0.43316195372750643,-4.954762691760061,8.891664566013709e-07
RSI30_OV70_H5,30,70,5,overbought,778,-0.006097006573774354,-0.006499448733157388,0.38431876606683807,-4.983950056329925,7.684819183453233e-07
RSI30_OV70_H3,30,70,3,overbought,778,-0.003883860972388306,-0.0042863031317713395,0.36375321336760924,-4.988626917120269,7.50676312338538e-07
RSI30_OV70_H1,30,70,1,overbought,778,-0.0014642479370361849,-0.0018666900964192184,0.32904884318766064,-5.0109079187966685,6.711748453226061e-07
RSI20_OV75_H5,20,75,5,overbought,826,-0.006165471824918007,-0.006568619524675877,0.387409200968523,-5.051983299359281,5.38568449658218e-07
RSI10_OV65_H1,10,65,1,overbought,998,-0.00027768543719829667,-0.0006914128921081163,0.31462925851703405,-5.061587361448751,4.949573226722367e-07
RSI7_OV80_H1,7,80,1,overbought,995,-0.0008164580703670272,-0.0012289203819248163,0.3326633165829146,-5.089991578450406,4.281058412579845e-07
RSI20_OV75_H3,20,75,3,overbought,826,-0.004199192436574567,-0.004602340136332436,0.3728813559322034,-5.1781373293504585,2.817892012701065e-07
RSI30_OV65_H5,30,65,5,overbought,943,-0.004637261969913773,-0.0050459576220876845,0.41569459172852596,-5.222862969711281,2.168727748285195e-07
RSI7_OV65_H1,7,65,1,overbought,1000,-0.00022650166806171586,-0.0006400016680617158,0.333,-5.262889854050751,1.7355053928288061e-07
RSI20_OV70_H5,20,70,5,overbought,954,-0.00515791320388101,-0.005563259115830696,0.38469601677148846,-5.3194383575145165,1.2975394279879486e-07
RSI30_OV65_H3,30,65,3,overbought,943,-0.0033367573362342792,-0.003745452988408192,0.38494167550371156,-5.3480995074628375,1.1159560283359535e-07
RSI7_OV75_H1,7,75,1,overbought,999,-0.00043966254266026477,-0.0008532761562738784,0.31931931931931934,-5.348511131141984,1.099621997664499e-07
RSI14_OV70_H3,14,70,3,overbought,993,-0.0026297794439321966,-0.00304176333114267,0.34944612286002014,-5.3682874206283575,9.899398638044004e-08
RSI30_OV65_H10,30,65,10,overbought,943,-0.007942844349131695,-0.008351540001305606,0.4188759278897137,-5.36857973224613,9.997369352432016e-08
